,date,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
183,2014-07-03 04:00:00+00:00,89.0276,73.3676,0.32283464,10.292631
184,2014-07-04 04:00:00+00:00,76.51759,67.8776,0.2952756,15.838529
185,2014-07-05 04:00:00+00:00,80.9276,61.3976,0.0,11.406507
186,2014-07-06 04:00:00+00:00,83.3576,60.857597,0.0,11.090649
187,2014-07-07 04:00:00+00:00,89.5676,68.957596,0.0,15.213245
188,2014-07-08 04:00:00+00:00,92.5376,73.9076,0.023622049,13.849542
189,2014-07-09 04:00:00+00:00,87.5876,72.01759,0.28346458,9.804595
190,2014-07-10 04:00:00+00:00,83.7176,70.5776,0.11811024,7.02076
191,2014-07-11 04:00:00+00:00,84.167595,65.3576,0.0,8.225348
192,2014-07-12 04:00:00+00:00,84.707596,67.51759,0.0,9.196219
193,2014-07-13 04:00:00+00:00,87.8576,70.3076,0.011811024,12.664266
194,2014-07-14 04:00:00+00:00,88.5776,72.3776,0.87401575,8.880636
195,2014-07-15 04:00:00+00:00,84.707596,73.7276,0.5866142,6.2675934
196,2014-07-16 04:00:00+00:00,81.01759,69.6776,0.062992126,8.325127
197,2014-07-17 04:00:00+00:00,79.2176,63.2876,0.0,7.569527
198,2014-07-18 04:00:00+00:00,80.6576,59.6876,0.0,5.2414584
199,2014-07-19 04:00:00+00:00,78.3176,65.6276,0.0118110245,6.8621593
200,2014-07-20 04:00:00+00:00,79.1276,64.9976,0.015748031,7.44622
201,2014-07-21 04:00:00+00:00,83.1776,65.26759,0.0,6.9383073
202,2014-07-22 04:00:00+00:00,85.69759,66.8876,0.003937008,8.352132
203,2014-07-23 04:00:00+00:00,89.0276,71.207596,0.0,10.804965
204,2014-07-24 04:00:00+00:00,81.917595,70.4876,0.0,8.358121
205,2014-07-25 04:00:00+00:00,82.1876,62.9276,0.0,8.43263
206,2014-07-26 04:00:00+00:00,81.4676,64.1876,0.031496063,6.2675934
207,2014-07-27 04:00:00+00:00,89.207596,70.4876,0.027559057,9.440564
208,2014-07-28 04:00:00+00:00,82.3676,70.3076,0.4527559,14.79129
209,2014-07-29 04:00:00+00:00,74.8076,63.017597,0.003937008,9.812248
210,2014-07-30 04:00:00+00:00,77.417595,61.9376,0.0,5.3781123
211,2014-07-31 04:00:00+00:00,82.0076,62.3876,0.0,8.385021
212,2014-08-01 04:00:00+00:00,81.1976,66.6176,0.047244094,8.0656185
213,2014-08-02 04:00:00+00:00,76.6976,66.8876,0.42519686,9.996662
214,2014-08-03 04:00:00+00:00,75.5276,64.457596,0.15354332,5.1450996
215,2014-08-04 04:00:00+00:00,83.0876,65.4476,0.0,4.8186455
216,2014-08-05 04:00:00+00:00,86.237595,65.0876,0.0,5.538552
217,2014-08-06 04:00:00+00:00,84.167595,66.2576,0.0,6.6095686
218,2014-08-07 04:00:00+00:00,82.2776,64.3676,0.0,8.948
219,2014-08-08 04:00:00+00:00,81.917595,60.857597,0.0,7.1092973
220,2014-08-09 04:00:00+00:00,83.8076,61.3976,0.0,5.101145
221,2014-08-10 04:00:00+00:00,85.0676,64.9076,0.0,7.832695
222,2014-08-11 04:00:00+00:00,84.707596,67.1576,0.0,10.634577
223,2014-08-12 04:00:00+00:00,76.9676,69.3176,1.0590551,13.964685
